1,consequat,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,image-1.jpg,64.0,3,10
2,eu felis,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,image-2.jpg,69.6,1,7
3,dolor vel,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",image-3.jpg,84.05,9,8
4,sit amet,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",image-4.jpg,13.52,9,1
5,augue vestibulum rutrum,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",image-5.jpg,38.39,7,4
6,erat,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",image-6.jpg,50.76,1,9
7,platea dictumst,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,image-7.jpg,85.48,2,3
8,aenean auctor,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,image-8.jpg,99.55,2,1
9,molestie,Phasellus in felis. Donec semper sapien a libero. Nam dui.,image-9.jpg,31.49,1,10
10,amet consectetuer adipiscing,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",image-10.jpg,71.13,3,4
11,vel,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",image-11.jpg,44.45,2,2
12,vulputate,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,image-12.jpg,84.02,5,4
13,mi,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",image-13.jpg,84.38,5,7
14,quis,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,image-14.jpg,18.97,3,5
15,porttitor pede,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,image-15.jpg,50.89,1,1
16,nibh in,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",image-16.jpg,2.75,9,9
17,congue risus,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",image-17.jpg,19.87,1,5
18,vitae quam suspendisse,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,image-18.jpg,63.21,10,9
19,est lacinia,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",image-19.jpg,26.41,1,1
20,phasellus,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",image-20.jpg,11.19,9,8
21,vestibulum,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",image-21.jpg,78.58,7,3
22,ac,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,image-22.jpg,53.62,8,2
23,elit sodales scelerisque,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,image-23.jpg,59.16,9,1
24,sed,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",image-24.jpg,83.91,2,4
25,pulvinar nulla pede,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",image-25.jpg,60.25,1,7
26,faucibus accumsan odio,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",image-26.jpg,72.25,7,2
27,ultrices posuere cubilia,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",image-27.jpg,47.45,6,10
28,rutrum nulla,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,image-28.jpg,51.8,5,8
29,neque aenean,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",image-29.jpg,69.55,8,10
30,iaculis diam erat,Sed ante. Vivamus tortor. Duis mattis egestas metus.,image-30.jpg,90.5,8,10
31,in congue etiam,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",image-31.jpg,74.03,6,9
32,maecenas ut,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,image-32.jpg,83.25,7,4
33,in leo,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",image-33.jpg,34.39,9,2
34,tempus,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,image-34.jpg,19.57,3,7
35,ultrices,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",image-35.jpg,18.48,1,1
36,iaculis congue,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,image-36.jpg,26.41,10,4
37,sociis natoque,Fusce consequat. Nulla nisl. Nunc nisl.,image-37.jpg,16.2,6,1
38,tristique est et,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,image-38.jpg,84.97,5,2
39,ut blandit non,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,image-39.jpg,46.55,1,2
40,nonummy maecenas tincidunt,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",image-40.jpg,90.83,1,1
